segment,profile,gold_per_min,exp_per_min,next_attempt_cost,next_level_expected_gold,purchasing_power,gear_replace_interval_min,gem_slots,gem_avg_level,gem_attack_bonus,enhance_level,minutes
1 ~ 100,casual,38084272.569116674,12694746.637350045,8140,20785.49,4678.657563773547,53.53167584270039,5,88.2,0.14582420749279537,15,2569.5204404496185
1 ~ 100,normal,89493710.94489779,29831226.320481338,766000,4406997.1,116.83252081579346,25.423960562966773,5,100.8,0.3975763688760807,20,2262.732490104043
1 ~ 100,top,88701541.4272096,29567162.946544997,,,,7.034127262911226,5,98.4,0.42466570605187326,25,457.2182720892297
101 ~ 500,casual,7.400927532970591e+31,2.4669758443235306e+31,8.778455180946605e+28,2.241578530454716e+29,843.0785805040161,60.196650277777664,5,248.2,0.15603830343469832,15,14447.19606666664
101 ~ 500,normal,1.522327570825605e+32,5.074425236085351e+31,8.260806718188084e+30,4.752656821242219e+31,18.428316056273868,30.076522121913495,5,492.6,0.49017549075481337,20,14436.730618518477
101 ~ 500,top,1.5930830602293592e+32,5.310276867431196e+31,,,,8.83552414351853,5,488.4,0.5315716786480104,25,2827.36772592593
501 ~ 1000,casual,1.1573288190584443e+63,3.8577627301948145e+62,1.715576980361372e+60,4.380725819352764e+60,674.6003428040067,60.18438265991828,5,448.2,0.15732378256723475,15,18055.314797975483
501 ~ 1000,normal,2.3804341496755157e+63,7.934780498918386e+62,1.614412735819178e+62,9.288136090023738e+62,14.74489203944273,30.071954629629552,5,992.6,0.5064245959582152,20,18043.17277777773
501 ~ 1000,top,2.4931863025200337e+63,8.31062100840011e+62,,,,8.826694722222236,5,988.4,0.5493062592619354,25,3530.677888888894
1001 ~ 3000,casual,2.8156774608024307e+187,9.385591536008103e+186,2.502526393470812e+185,6.390201145727719e+185,112.5133971872841,207.40224718557212,5,2984.2,0.27512313376507114,15,342835.9145977507
1001 ~ 3000,normal,1.3489081550214297e+188,4.496360516738099e+187,2.354957269531501e+187,1.3548681276043397e+188,5.727951723259011,57.34643126726812,5,2990.6,0.7295325965596697,20,147093.59620054273
1001 ~ 3000,top,3.291156092548696e+188,1.097052030849565e+188,,,,26.29617970317553,5,2985.2,0.7943449743657858,25,69632.2838540088
3001 ~ 4738,casual,1.1074255935366393e+216,3.69141864512213e+215,3.6330516257013705e+213,9.27699732622845e+213,304.8196688707521,2665.9394918736634,5,3445,0.2768576558958334,15,823775.302988962
3001 ~ 4738,normal,1.4395142660383614e+230,4.798380886794533e+229,9.74995346837113e+228,5.609401652773696e+229,14.764319344786093,1531.778125541359,5,3655.6,0.7359086226071071,20,1018632.4534850038
3001 ~ 4738,top,1.352104169903373e+242,4.507013899677916e+241,,,,1087.5350386116265,5,3843.6,0.8030974958592543,25,1124511.2299244218
