profile,segment,per_hour
casual,all,0.21648952409079544
casual,1 ~ 100,0.4981577430720115
casual,101 ~ 500,0.49801831447417366
casual,501 ~ 1000,0.49900980927541144
casual,1001 ~ 20000,0.49900980927542027
casual,20001 ~ 21230,0.49900980927541394
normal,all,0.8112504125413135
normal,1 ~ 100,1.8025366117882191
normal,101 ~ 500,1.8140827093856824
normal,501 ~ 1000,1.8156583687294992
normal,1001 ~ 20000,1.8156583687294987
normal,20001 ~ 21230,1.8156583687295067
top,all,0.776311114953328
top,1 ~ 100,1.890617553325764
top,101 ~ 500,1.9983268994438497
top,501 ~ 1000,1.9891765436175548
top,1001 ~ 20000,1.989176543617284
top,20001 ~ 21230,1.9891765436175821
